数据实例（单位：秒）
	M1	M2	M3	M4	M5
EX01：			
工件一	42.0 	132.8 	144.7 	133.7 	156.5 
工件二	102.8 	70.5 	80.4 	82.4 	67.9 
工件三	175.5 	53.6 	170.3 	60.2 	195.2 
工件四	210.6 	104.0 	62.3 	141.7 	211.7 
工件五	154.0 	57.7 	64.0 	102.4 	175.5 
EX02：			
工件一	218.3 	188.9 	45.2 	81.5 	58.8 
工件二	207.1 	217.8 	172.2 	48.3 	81.4 
工件三	179.8 	166.3 	52.8 	194.2 	87.4 
工件四	142.1 	185.6 	176.1 	171.8 	103.1 
工件五	93.4 	158.1 	116.9 	141.5 	168.3 
EX03：					
工件一	165.0 	103.6 	113.5 	95.3 	165.1 
工件二	190.3 	139.8 	65.0 	149.3 	173.1 
工件三	177.6 	209.5 	197.1 	199.1 	146.2 
工件四	88.0 	197.5 	211.0 	44.2 	170.6 
工件五	67.7 	153.8 	94.5 	65.9 	135.4 
EX04：					
工件一	60.6 	137.3 	53.4 	132.8 	101.4 
工件二	164.5 	78.9 	69.9 	157.2 	97.5 
工件三	205.5 	180.6 	188.8 	48.6 	57.6 
工件四	150.5 	194.9 	190.6 	189.6 	190.9 
工件五	108.8 	59.9 	107.1 	187.7 	115.3 
EX05：					
工件一	138.0 	88.8 	73.0 	81.1 	92.0 
工件二	148.2 	188.4 	194.9 	100.1 	143.2 
工件三	125.9 	130.2 	97.8 	94.0 	144.8 
工件四	93.1 	170.1 	90.8 	157.6 	164.2 
工件五	214.4 	81.6 	122.7 	124.4 	217.7 
